,activity_period,marketplace,transaction_type,asin,product_name,qty,item_weight,total_activity_weight,price_of_items_amt_vat_excl,total_price_of_items_amt_vat_excl,ship_charge_amt_vat_excl,total_ship_charge_amt_vat_excl,total_activity_value_amt_vat_excl,price_of_items_vat_rate_percent,price_of_items_vat_amt,total_price_of_items_vat_amt,ship_charge_vat_rate_percent,ship_charge_vat_amt,total_ship_charge_vat_amt,total_activity_value_vat_amt,price_of_items_amt_vat_incl,total_price_of_items_amt_vat_incl,ship_charge_amt_vat_incl,total_ship_charge_amt_vat_incl,total_activity_value_amt_vat_incl,transaction_currency_code,depature_city,departure_country,departure_post_code,arrival_city,arrival_country,arrival_post_code,sale_depart_country,sale_arrival_country,transportation_mode,delivery_conditions,taxable_jurisdiction,export_outside_eu,tax_reporting_scheme,tax_collection_responsibility
33,2022-01-01,amazon.co.uk,SALE,B08L3ZJ7QG,Wine Bottle Stand (Red),1,0.04,0.04,12.49,12.49,4.16,4.16,16.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.49,12.49,4.16,4.16,16.65,GBP,Kegworth,GB,DE74 2BB,ABINGDON,GB,OX14 4EH,GB,GB,CONSIGNMENT_BY_POST,DAP,UNITED KINGDOM,NO,UK_VOEC-DOMESTIC,MARKETPLACE
34,2022-01-01,amazon.de,SALE,B08L3ZJ7QG,Wine Bottle Stand (Red),1,0.04,0.04,12.6,12.6,0.0,0.0,12.6,0.19,2.39,2.39,0.19,0.0,0.0,2.39,14.99,14.99,0.0,0.0,14.99,EUR,Monchengladbach,DE,41179,Dresden,DE,01257,DE,DE,CONSIGNMENT_BY_POST,DAP,GERMANY,NO,REGULAR,SELLER
35,2022-01-01,amazon.de,SALE,B08L3Z9SSD,Wine Bottle Stand (Topas),1,0.04,0.04,11.76,11.76,0.0,0.0,11.76,0.19,2.23,2.23,0.19,0.0,0.0,2.23,13.99,13.99,0.0,0.0,13.99,EUR,Monchengladbach,DE,41179,Dresden,DE,01257,DE,DE,CONSIGNMENT_BY_POST,DAP,GERMANY,NO,REGULAR,SELLER
36,2022-01-01,amazon.de,SALE,B08L3ZJ7QG,Wine Bottle Stand (Red),1,0.04,0.04,12.6,12.6,0.0,0.0,12.6,0.19,2.39,2.39,0.19,0.0,0.0,2.39,14.99,14.99,0.0,0.0,14.99,EUR,Monchengladbach,DE,41179,Gelsenkirchen,DE,45894,DE,DE,CONSIGNMENT_BY_POST,DAP,GERMANY,NO,REGULAR,SELLER
37,2022-01-01,amazon.de,SALE,B08L3Z9SSD,Wine Bottle Stand (Topas),1,0.04,0.04,11.76,11.76,0.0,0.0,11.76,0.19,2.23,2.23,0.19,0.0,0.0,2.23,13.99,13.99,0.0,0.0,13.99,EUR,Monchengladbach,DE,41179,Gelsenkirchen,DE,45894,DE,DE,CONSIGNMENT_BY_POST,DAP,GERMANY,NO,REGULAR,SELLER
38,2022-01-01,amazon.de,SALE,B08L3Z6LM9,Wine Bottle Stand (Rose),1,0.05,0.05,10.92,10.92,0.0,0.0,10.92,0.19,2.07,2.07,0.19,0.0,0.0,2.07,12.99,12.99,0.0,0.0,12.99,EUR,Monchengladbach,DE,41179,Gelsenkirchen,DE,45894,DE,DE,CONSIGNMENT_BY_POST,DAP,GERMANY,NO,REGULAR,SELLER
39,2022-01-01,amazon.de,SALE,B08L3ZJ7QG,Wine Bottle Stand (Red),1,0.04,0.04,12.6,12.6,0.0,0.0,15.95,0.19,2.39,2.39,0.19,0.0,0.0,3.03,14.99,14.99,0.0,0.0,18.98,EUR,Augny,FR,57685,Augsburg,DE,86179,FR,DE,CONSIGNMENT_BY_POST,DAP,GERMANY,NO,REGULAR,SELLER
40,2022-01-01,amazon.de,SALE,B0838M7V44,Wine Bottle Stand (Rose),1,0.55,0.55,25.2,25.2,0.0,0.0,25.2,0.19,4.79,4.79,0.19,0.0,0.0,4.79,29.99,29.99,0.0,0.0,29.99,EUR,Achim,DE,28832,Essen,DE,45149,DE,DE,CONSIGNMENT_BY_POST,DAP,GERMANY,NO,REGULAR,SELLER
41,2022-01-01,amazon.de,SALE,B08L3ZJ7QG,Wine Bottle Stand (Red),2,0.04,0.08,25.2,25.2,0.0,0.0,25.2,0.19,4.78,4.78,0.19,0.0,0.0,4.78,29.98,29.98,0.0,0.0,29.98,EUR,Augny,FR,57685,Kelkheim (Taunus),DE,65779,FR,DE,CONSIGNMENT_BY_POST,DAP,GERMANY,NO,REGULAR,SELLER
42,2022-01-01,,FC_TRANSFER,B082J64726,Immersion Heater 3.000 W,1,1.28,1.28,,,0.0,0.0,,,,,0.0,0.0,0.0,,,,0.0,0.0,,,Bielany Wroclawskie,PL,55-040,BOVES,FR,80440,,,TRANSPORT_BY_ROAD,XXX,,,,
43,2022-01-01,amazon.co.uk,REFUND,B082J64726,Immersion Heater 3.000 W,1,,,-63.96,-63.96,,,-63.96,0.0,0.0,0.0,,,,0.0,-63.96,-63.96,,,-63.96,GBP,Berlin,,10119,WESTHILL,,AB32 6SE,DE,GB,,,GERMANY,YES,UK_VOEC-IMPORT,MARKETPLACE
44,2022-01-01,amazon.it,SALE,B08L3ZJ7QG,Wine Bottle Stand (Red),1,0.04,0.04,19.99,19.99,0.0,0.0,19.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.99,19.99,0.0,0.0,19.99,EUR,Barcelona,ES,08820,SALE MARASINO,IT,25057,ES,IT,CONSIGNMENT_BY_POST,DAP,ITALY,NO,REGULAR,SELLER
45,2022-01-01,amazon.de,SALE,B08L3ZJ7QG,Wine Bottle Stand (Red),1,0.04,0.04,12.6,12.6,0.0,0.0,12.6,0.19,2.39,2.39,0.19,0.0,0.0,2.39,14.99,14.99,0.0,0.0,14.99,EUR,Frankenthal (Pfalz),DE,67227,Detmold,DE,32756,DE,DE,CONSIGNMENT_BY_POST,DAP,GERMANY,NO,REGULAR,SELLER
46,2022-01-01,amazon.de,SALE,B0838M7V44,Wine Bottle Stand (Rose),1,0.55,0.55,25.2,25.2,1.67,0.0,25.2,0.19,4.79,4.79,0.19,0.32,0.0,4.79,29.99,29.99,1.99,0.0,29.99,EUR,Monchengladbach,DE,41179,Frankfurt Am Main,DE,60314,DE,DE,CONSIGNMENT_BY_POST,DAP,GERMANY,NO,REGULAR,SELLER
47,2022-01-01,amazon.de,SALE,B0838M7V44,Wine Bottle Stand (Rose),1,0.55,0.55,25.2,25.2,0.0,0.0,25.2,0.19,4.79,4.79,0.19,0.0,0.0,4.79,29.99,29.99,0.0,0.0,29.99,EUR,Monchengladbach,DE,41179,Garbsen,DE,30823,DE,DE,CONSIGNMENT_BY_POST,DAP,GERMANY,NO,REGULAR,SELLER
48,2022-01-01,amazon.de,SALE,B08L3Z6LM9,Wine Bottle Stand (Rose),1,0.05,0.05,10.92,10.92,0.0,0.0,10.92,0.19,2.07,2.07,0.19,0.0,0.0,2.07,12.99,12.99,0.0,0.0,12.99,EUR,Monchengladbach,DE,41179,Netzschkau,DE,08491,DE,DE,CONSIGNMENT_BY_POST,DAP,GERMANY,NO,REGULAR,SELLER
49,2022-01-01,amazon.de,RETURN,B08GSNC3SG,Immersion Heater 1.500 W,1,1.32,1.32,,,,,,,,,,,,,,,,,,,ARZBACH,DE,56337,Bielany Wroclawskie,PL,55-040,DE,DE,CONSIGNMENT_BY_POST,XXX,,,,
